ID,Name,Topic,SIG,RTE,TRS,TRK,PTS,LXG,Commissioning
A2,Ashford IECC B,TD_KENT_MCC_SIG_AREA,✔,✔,✔,,,,
A3,Ashford Front-End TD,TD_KENT_MCC_SIG_AREA,✔,✔,,,,,
AD,Ashford IECC A,TD_KENT_MCC_SIG_AREA,✔,✔,✔,,,,
AL,Alnmouth,TD_LNE_NE_SIG_AREA,,,,,,,
AN,Allington Junction,TD_MC_EM_SIG_AREA,✔,,,,,,
AS,Aston SCC TD,TD_LNW_WMC_SIG_AREA,✔,✔,✔,,,,
AW,Acton Wells,TD_ANG_SIG_AREA,✔,✔,,,✔,,
BA,Barnsley,TD_LNE_NE_SIG_AREA,,,,,,,
BE,Basingstoke,TD_WESS_SIG_AREA,✔,✔,✔,✔,,,
BG,WMSC Bromsgrove Corridor WestCAD,TBD,✔,✔,,,,,07/11/2016
BL,Bristol PSB ITD,TD_WWC_SIG_AREA,,,,,,,
BM,Barnham,TD_SUSS_SIG_AREA,✔,✔,✔,,,,
BN,Birmingham New Street PSB,TD_LNW_WMC_SIG_AREA,,,,,,,Planned decommissioning 26/12/2021
BP,Basingstoke (Poole - Wool),TD_WESS_SIG_AREA,✔,✔,,,✔,,
BS,Barnes,TD_WESS_SIG_AREA,✔,✔,,✔,,,
BU,EMCC Burton Area WestCAD,TBD,✔,✔,,,,✔,17/08/2018*
BX,Basingstoke (WoE),TD_WESS_SIG_AREA,✔,✔,✔,✔,,,
C1,SWCC Newport Corridor WestCAD,TD_WWM_SIG_AREA,✔,✔,✔,,,,
C2,SWCC Cardiff Area MCS,TD_WWM_SIG_AREA,✔,✔,✔,✔,✔,,
C3,SWCC Shrewsbury North WestCAD,TD_WWM_SIG_AREA,✔,✔,,,,,
C4,WROC Shrewsbury-Newport,TBD,?,?,?,?,?,?,Planned 2022
C5,WROC North Wales Coast WestCAD,TBD,✔,✔,,,,,09/03/2018*
C6,SWCC Swansea Area WestCAD,TBD,✔,✔,,✔,,,26/02/2019*
CA,Cambridge PSB,TD_ANG_SIG_AREA,✔,✔,,✔,✔,,
CC,Colchester,TD_ANG_SIG_AREA,✔,✔,,✔,✔,,
CD,Castleford,TD_LNE_NE_SIG_AREA,,,,,,,
CE,Crewe PSB,TD_LNW_C_SIG_AREA,✔,✔,✔,,,,
CH,Chichester,TD_SUSS_SIG_AREA,,✔,✔,,,,
CL,Carlisle PSB TD,TD_LNW_LC_SIG_AREA,,,,,,,
CS,Chester PSB,TD_LNW_C_SIG_AREA,,,,,,,
CT,Channel Tunnel,TD_KENT_MCC_SIG_AREA,✔,,,,,,
CV,WMSC Cherwell Valley WestCAD,TD_LNW_WMC_SIG_AREA,✔,✔,,,,,08/08/2016
CY,WMSC Coventry WestCAD,TD_LNW_WMC_SIG_AREA,✔,✔,✔,,,,
D0,TVSC Temple Meads IECC,TBD,✔,✔,✔,✔,,,29/03/2018*
D1,TVSC Reading IECC A,TD_WTV_SIG_AREA,✔,✔,✔,✔,,,
D2,TVSC Reading IECC B,TD_WTV_SIG_AREA,✔,✔,✔,✔,,,
D3,TVSC Paddington IECC,TD_WTV_SIG_AREA,✔,✔,✔,✔,,,
D4,TVSC Hayes IECC,TD_WTV_SIG_AREA,✔,✔,✔,✔,,,
D5,TVSC Didcot IECC,TD_WWC_SIG_AREA,✔,✔,✔,✔,,,
D6,TVSC Maidenhead IECC,TD_WTV_SIG_AREA,✔,✔,,✔,,,
D7,TVSC Swindon IECC,TD_WWC_SIG_AREA,✔,✔,,✔,,,
D9,TVSC Stoke Gifford IECC,TD_WTV_SIG_AREA,✔,✔,,✔,,,30/08/2016
DR,Doncaster PSB TD,TD_LNE_GN_SIG_AREA,,,,,,,
DY,EMCC Derby Area WestCAD,TBD,✔,✔,✔,✔,,,03/09/2018
E1,Edgeley No 1,TD_LNW_C_SIG_AREA,,✔,,,,,
EA,Edinburgh IECC A,TD_SE_SIG_AREA,✔,✔,✔,,,,
EB,Edinburgh IECC B,TD_SE_SIG_AREA,✔,✔,✔,✔,,,
EC,Edinburgh IECC C,TD_SE_SIG_AREA,✔,✔,✔,✔,,,
ED,Edinburgh IECC D,TD_SE_SIG_AREA,✔,✔,✔,✔,,,
EH,Eastleigh,TD_WESS_SIG_AREA,✔,✔,✔,✔,✔,✔,
EK,East Kent MCS ITD,TD_KENT_MCC_SIG_AREA,✔,✔,✔,✔,✔,✔,
EN,Cambridge IECC (Ely - Norwich),TD_ANG_SIG_AREA,✔,✔,,✔,,✔,
ES,TBROC East Sussex MCS,TD_SUSS_SIG_AREA,✔,✔,✔,✔,✔,✔,Planned decommissioning 02/12/2019
EX,Exeter,TD_WWC_SIG_AREA,,✔,,,,,
F2,Feltham (Shepperton Branch) IECC,TBD,?,?,?,?,?,?,23/06/2019*
FE,Ferrybridge,TD_LNE_GN_SIG_AREA,✔,✔,,,✔,,
FH,Feltham ASC TD,TD_WESS_SIG_AREA,,✔,,,,,
G1,WSSC Glasgow Area WestCAD,TD_SW_SIG_AREA,✔,✔,✔,,✔,,
G2,WSSC Paisley ITD,TD_SW_SIG_AREA,✔,✔,✔,✔,✔,,
G3,WSSC Newton/Whifflet Area WestCAD,TBD,✔,✔,,✔,,,18/04/2017
G4,WSSC Motherwell/Carstairs Area WestCAD,TBD,✔,✔,,✔,,,16/08/2018*
GD,Guildford,TD_WESS_SIG_AREA,,,,,,,
GL,Gloucester ITD,TD_WWC_SIG_AREA,,,,,,,
HG,Harrogate IECC,TD_LNE_NE_SIG_AREA,✔,✔,,,✔,✔,
HN,Heaton Norris,TD_LNW_C_SIG_AREA,,✔,,,,,
HT,Havant,TD_WESS_SIG_AREA,✔,✔,✔,,,,
IH,Inverness Highlands WestCAD,TBD,✔,✔,,✔,,,05/12/2017*
KG,EMCC Kettering Area WestCAD,TBD,✔,✔,✔,,,,21/02/2018*
KN,WMSC Kings Norton WestCAD,TBD,✔,✔,,,,,07/11/2016
KX,Kings Cross,TD_LNE_GN_SIG_AREA,,,,,,,Planned decommissioning 03/2020
L2,Lincoln East,TD_MC_EM_SIG_AREA,✔,✔,,,,,
LA,Lancing,TD_SUSS_SIG_AREA,,✔,,,,,
LB,London Bridge ASC TD,TD_KENT_MCC_SIG_AREA,,✔,✔,,,,
LC,WMSC Leamington Corridor,TD_LNW_WMC_SIG_AREA,✔,✔,✔,,,,
LN,Lincoln,TD_MC_EM_SIG_AREA,✔,✔,✔,,,,
LR,EMCC Leicester Area WestCAD,TD_MC_EM_SIG_AREA,✔,✔,✔,✔,,,
LS,Liverpool Street,TD_ANG_SIG_AREA,✔,✔,✔,✔,,,Planned decommissioning 11/2019
M0,MRROC Lime Street WestCAD,TBD,✔,✔,✔,,,,26/07/2018*
M1,MRROC Liverpool Area WestCAD,TD_LNW_C_SIG_AREA,✔,✔,,,,,
M2,MRROC Manchester North WestCAD,TD_LNW_C_SIG_AREA,✔,✔,,,,,
M3,MRROC Manchester Central WestCAD,TD_LNW_C_SIG_AREA,✔,✔,✔,,,,
M4,MRROC Wavertree WestCAD,TBD,✔,✔,,,,,07/05/2018*
M5,MRROC Wavertree West Area WestCAD,TBD,✔,✔,,,,,19/12/2018*
M6,MRROC Macclesfield,TBD,?,?,?,?,?,?,Planned 08/2022
M9,MRROC Blackpool Area WestCAD,TBD,✔,✔,,,,,29/01/2018
MA,Maidstone East,TD_KENT_MCC_SIG_AREA,,✔,,,,,
MD,EMCC Mansfield,TD_MC_EM_SIG_AREA,✔,✔,✔,,,,
ME,Marylebone Chilterns IECC,TD_LNW_WMC_SIG_AREA,✔,✔,✔,✔,,,
