STANOX,LOCATION,STANME
5,AACHEN,AACHEN
8,"COLOGNE NIEHL HAFEN",COLOGNEHF
9,"COLOGNE HBF",COLOGNE
10,"COLOGNE NIEHL",COLOGNE
11,"SASSNITZ MUKRAN",SASSNITZ
12,"MIESAU (US-ARMY)",MIESAU
13,"DUSSELDORF HBF",DUSELDORF
15,"NEUSS HESSENTOR","NEUSS HTR"
17,"DUISBURG RUHRORT HAFEN",DUISBURG
18,MONCHENGLADBACH,MONCHGBCH
20,"ESSEN HBF","ESSEN HBF"
23,"BOCHUM HBF",BOCHUMHBF
25,"DORTMUND HBF",DORTMUND
27,BOENEN,BOENEN
31,"BONN HBF","BONN HBF"
34,"KOBLENZ HBF",KOBLENZ
39,"FRANKFURT GREISHEIM",FRKGRESHM
41,"FRANKFURT HBF",FRANKFURT
44,"MAINZ HBF","MAINZ HBF"
51,SAARLOUIS,SAARLOUIS
54,"MANNHEIM HANDELSHAFEN",MANNHEIMH
55,"MANNHEIM RANGIERBAHNHOF",MANNHEIMR
58,KARLSRUHE,KARLSRUHE
61,"STUTTGART HAFEN",STUTTGRTH
63,"NEU ULM","NEU ULM"
65,MUNICH,MUNICH
69,ROSENHEIM,ROSENHEIM
95,EINSIEDLERHOF,EINSIDLHF
98,GREMBERG,GREMBERG
99,"GREMBERG (ITALIAN WAGONS)",GREMBGI
105,SALZBURG,SALZBURG
119,LINZ,LINZ
133,"ST POLTON","ST POLTEN"
135,"VIENNA NORDWESTBAHNHOF","VIENNA NW"
205,"PORT BOU","PORT BOU"
215,"BARCELONA EL MORROT",BARCELONA
216,"PORT BOU INTERMODAL",PORTBOUIM
223,TARRAGONA,TARRAGONA
227,VALENCIA,VALENCIA
228,"FORD FACTORIA","FORD FACT"
229,SILLA,SILLA
232,BENIFAYO-ALMOSAFES,BENIFAYO
235,"MIRANDA DE EBRO","MIRAN D E"
245,VALLADOLID,VALADOLID
261,IRUN,IRUN
305,LUINO,LUINO
309,"BUSTO ARSIZIO","BUSTO ARS"
310,"DOMODOSSOLA DBS",DOMODOSS
313,"MILANO ROGERADO","MILAN ROG"
314,"MILANO ROGERADO","MILAN ROG"
315,"MILANO MELZO","MILAN MEL"
316,"MILANO ROGERADO","MILAN ROG"
317,"MILANO SEGRATE","MILAN SEG"
318,"MILANO SMISTAMENTO","MILAN SMT"
319,"MILANO PIOLTELLO","MILAN PIO"
323,"TURIN ORBASSANO","TURIN ORB"
324,"PADOVA INTERPORTO","PADOVA IN"
325,"LOCATE TRIULZI","LOCATE TR"
326,SEZZADIO,SEZZADIO
328,NOVARA,NOVARA
330,"OLEGGIO ","OLEGGIO "
332,PIACENZA,PIACENZA
335,VITTUONE-ARLUNO,"VITUONE A"
340,FIORENZULO,FIORENZLA
344,"CARIMATE ","CARIMATE "
348,BRESCIA,BRESCIA
352,"LONATO   ","LONATO   "
353,"NAPOLI CENTRALE",NAPOLICTL
354,"BARI SCALO FERRUCCIO",BARI
360,"POMEZIA (ITALY)",POMEZIA
401,"POZNAN (POLAND)",POZNAN
402,"WARSAW (POLAND)","WARSAW FL"
405,"KATY WROC","KATY WROC"
405,"KATY WROCLAWSKIE (POLAND) ","KATY WROC"
505,"BASLE SBB GB GTI","BASLE SBB"
506,"BASLE FRONTIER WITH DB/SNCF","BASLE FRO"
611,"LOURCHES             (FRANCE)",LOURCHES
612,"ALIZAY (FRANCE)           ",ALIZAY
613,"BUSIGNY              (FRANCE)",BUSIGNY
703,"CHANNEL TUNNEL XOVER (FRANCE)",CTXOVERFR
705,"CHANNEL TUNNEL PORTAL (FRANCE)",CTPORTLFR
706,"CHANNEL TUNNEL OPS BOUNDARY",SNCFETBDY
707,"CALAIS TUNNEL SOUTH H.S.",CALAISTNL
709,"CALAIS EUROTUNNEL EMERGENCY SG",CALAISEES
710,"MARSEILLE ST CHARLES",MARSEILLE
711,"CALAIS FRETHUN G DU VOYAGEURS",FRETHUNGV
712,"FRETHUN (COLAS)",FRETHUNGB
713,"CALAIS FRETHUN (TUNNEL)",FRETHNTNL
714,"CALAIS FRETHUN (FRANCE)",FRETHUN
715,"CALAIS COQUELLES EUROTUNNEL",COQUELLES
716,"CALAIS FRETHUN (FRANCE)",CAFFIERS
717,"CALAIS FRETHUN (LOCAL)  (FR)",FRETHNLCL
718,"FRETHUN (COLAS)",FRETHNCR
719,"CALAIS FRETHUN DEPOT (FRANCE)",FRETHNDPT
720,"FRETHUN (EUROPORTE2)","FRETHN EP"
721,"CALAIS FRETHUN (FRANCE)",FRETHUN
722,"CALAIS FRETHUN (FRANCE)",FRETHUN
723,"CALAIS FRETHUN (FRANCE)",FRETHUN
724,"CALAIS FRETHUN (FRANCE)",FRETHUN
725,"CALAIS FRETHUN (FRANCE)",FRETHUN
726,"CALAIS FRETHUN (FRANCE)",FRETHUN
727,LESTREM,LESTREM
728,"LILLE PORT FLUVIAL (FRANCE)","LILLE PTF"
729,"CALAIS VILLE GARE DU VOYAGUERS",CALAISVGV
730,"DUNKERQUE VIA DOVER",DUNKERQUE
731,"DUNKERQUE VIA DOVER",DUNKERQUE
732,"PORT BOU FRONTIER (RFF)","PORTBOU F"
733,"DUNKERQUE VIA DOVER",DUNKERQUE
734,"DUNKERQUE VIA DOVER",DUNKERQUE
735,"DUNKERQUE VIA DOVER",DUNKERQUE
736,"HAZEBROUK            (FRANCE)",HAZEBRUCK
737,"LENS                 (FRANCE)",LENS
738,"BAISIEUX             (FRANCE)",BAISIEUX
739,"DON SAINGHIN         (FRANCE)","D SANGHIN"
740,"LILLE DELIVERANCE    (FRANCE)","LILLE DEL"
741,"LILLE EUROPE         (FRANCE)","LILLE EUR"
742,"LILLE FLANDRES       (FRANCE)","LILLE FLA"
743,"ARRAS                (FRANCE)",ARRAS
744,"SOMAIN               (FRANCE)",SOMAIN
745,"TOURCOING            (FRANCE)",TOURCOING
746,"AMIENS               (FRANCE)",AMIENS
747,"JEUMONT              (FRANCE)",JEUMONT
748,"CHARLEVILLE-MEZIERES (FRANCE)",CHARVILLE
749,"LONGUEAU             (FRANCE)",LONGUEAU
750,"PARIS NORD           (FRANCE)",PARISNORD
751,"GARE PICARDE         (FRANCE)","G PICARDE"
752,"ACHERES              (FRANCE)",ACHERES
753,"VILLIERS-LA-BEL-GONESSE  (FR)",GONESSE
754,"NOISY-LE-SEC         (FRANCE)","NOISY L S"
755,"PARIS LEL","PARIS LEL"
756,"PARIS LE LANDE DEPOT (FRANCE)","PARIS LEL"
757,"VALENTON YARD        (FRANCE)",VALENTON
758,"PIERREFITTE-STAINS   (FRANCE)",PIERREFIT
759,"CONLANS-JARNY        (FRANCE)",CONFLANSJ
760,"LONGUYON             (FRANCE)",LONGUYON
761,"EURRE                (FRANCE)",EURRE
762,"FORBACH              (FRANCE)",OIGNIES
763,"OIGNIES              (FRANCE)",AULNAY
764,"METZ                 (FRANCE)","METZ SBLN"
765,"SARREBOURG           (FRANCE)",SARREBORG
766,"WOIPPY               (FRANCE)",WOIPPY
767,"STRASBOURG HAUSBERGEN    (FR)",STRASBORG
768,"BOURG ST MAURICE     (FRANCE)","BOURG MAR"
769,"CULMONT-CHALINDREY   (FRANCE)","CULMONT C"
770,"CHAUMONT             (FRANCE)",CHAUMONT
771,"DIJON-PERRIGNY       (FRANCE)","DIJON PER"
772,"GEVREY               (FRANCE)",GEVREY
773,"MONTBELIARD          (FRANCE)",MONTBELRD
774,"MACON-VILLE          (FRANCE)","MACON VIL"
775,"LYON GUILLOTIERE     (FRANCE)","LYON GUIL"
776,"LYON VENISSIEUX      (FRANCE)","LYON VENI"
777,"MULHOUSE NORD        (FRANCE)","MULHOUS N"
778,"MULHOUSE ILE NAPOLEAN GAR (FR)","MULHOUS G"
779,"BORGE-EN-BRESSE      (FRANCE)","BORGE ENB"
780,"AMBERIEU             (FRANCE)",AMBERIEU
781,"MONDANE              (FRANCE)",MODANE
782,"LA-VOULTE-SUR-RHONE  (FRANCE)","LA VOULTE"
783,"AVIGNON              (FRANCE)",AVIGNON
783,"AVIGNON VILLE",AVIGNON
784,"AVIGNON              (FRANCE)",AVIGNON
785,"CHAMBERY-CHALLES-LES-EAUX (FR)",CHAMBERY
786,"NIMES                (FRANCE)",NIMES
787,"NARBONNE             (FRANCE)",NARBONNE
788,"PERPIGNAN ROUSSILLON (FRANCE)",PERPIGNAN
789,"LES AUBRAIS-ORLEANS  (FRANCE)","L AUBRAIS"
790,"POITIERS             (FRANCE)",POITIERS
791,"LYON-PERRACHE        (FRANCE)","LYON PERR"
792,"BORDEAUX ST. JEAN ",BORDEAUX
792,"BORDEAUX-BASTIDE ",BORDEAUX
793,"TOURNUS              (FRANCE)",TOURNUS
794,"PERPIGNAN            (FRANCE)",PERPIGNAN
795,"LYON VENISSIEUX      (FRANCE)","LYON VENI"
796,"HENDAYE              (FRANCE)",HENDAYE
797,"DOURGES DELTA 3      (FRANCE)",DOURGESD3
798,"CERBERE              (FRANCE)",CERBERE
799,"MARNE-LA-VALLEE      (FRANCE)","MARNE VAL"
839,TOURNAI,TOURNAI
841,ATH,ATH
844,HALLE,HALLE
845,"FRENCH/BELGIAN BORDER TGV LINE",BORDERTGV
846,MOUSCRON,MOUSCRON
848,MEREBEKE,MERELBEKE
850,"BRUSSELS MIDI (BELGIUM)","BRUS MIDI"
855,"BRUSSELS FOREST DEPOT",BRSFOREST
856,BRSFOREST,BRSFOREST
857,MUIZEN,MUIZEN
859,LIEGE,LIEGE
861,NAMUR,NAMUR
865,ARLON,ARLON
868,GENK,GENK
871,"MONTZEN YARD",MONTZEN
889,BETTEMBOURG,BETTEMBRG
907,"TILBURG WORKS",TILBURGWK
909,"ROOSENDAAL C.S",ROOSNDAAL
916,"KIJFHOEK YARD",KIJFHOEKY
918,"ROTTERDAM C.S",ROTTERDAM
927,"DEN HAAG C.S","DEN HAAG"
933,HOOFDDORP,HOOFDDORP
937,SCHIPOL,SCHIPOL
950,"AMSTERDAM C.S",AMSTERDAM
1000,"SCOTLAND TRA",SCOTLAND
1001,"THURSO STN",THURSO
1002,"GEORGEMAS JUNCTION",GORGMASJN
1003,"THURSO SIDINGS",THURSOU
1004,WATTEN,WATTEN
1005,"WICK STN",WICK
1006,"WICK SIDINGS","WICK SDGS"
1007,"GEORGEMAS JUNCTION SIDINGS","GEORG SDG"
1008,"GEORGEMAS JN STN",GEORGMASJ
1008,"HOY L.C.",GEORGMASJ
1009,"SCOTSCALDER STN",SCTSCALDR
1010,"ALTNABREAC STN",ALTNABRC
1011,ALTNABREAC,ALTNABREC
1012,"FORSINARD STN",FORSINARD
